scenario,count,original_total_sum,reranked_total_sum,delta_total_sum,original_total_per_user,reranked_total_per_user,delta_total_per_user,original_avg,reranked_avg,delta_avg,original_max,original_min,reranked_max,reranked_min
neutral,6031,120086.1854,120086.1854,0.0,19.911488,19.911488,0.0,5.185637,5.185637,0.0,11.6719,0.0,11.6719,0.0
gender,6031,112393.765,116290.5216,3896.7566,18.636008,19.282129,0.646121,4.921147,4.935052,0.013906,11.7775,0.0,11.7775,0.0
age,6031,116237.4536,120111.812,3874.3584,19.27333,19.915737,0.642407,4.93366,4.948151,0.01449,11.6022,0.0,11.6022,0.0
cross,6031,111503.1885,115864.1443,4360.9558,18.488342,19.211432,0.72309,4.895657,4.917118,0.021461,11.6783,0.0,11.6783,0.0
