scenario,metric,orig,rer,delta,ci_lo,ci_hi,t,p,n
neutral,Precision@20,0.1849166666666667,0.1849166666666667,0.0,0.0,0.0,,,600
neutral,Recall@20,0.6975739019322611,0.6975739019322611,0.0,0.0,0.0,,,600
neutral,HitRate@20,0.86,0.86,0.0,0.0,0.0,,,600
neutral,MRR,0.5215523577013514,0.5215523577013514,0.0,0.0,0.0,,,600
neutral,NDCG@20,0.4897370979924239,0.4897370979924239,0.0,0.0,0.0,,,600
neutral,Hits,3.6966666666666668,3.6966666666666668,0.0,0.0,0.0,,,600
neutral,APLT (slice),0.45458333333333334,0.45458333333333334,0.0,0.0,0.0,,,600
neutral,APLT (neutral),0.45458333333333334,0.45458333333333334,0.0,0.0,0.0,,,600
neutral,UnpopAvg,1.3087095,1.3087095,0.0,0.0,0.0,,,600
neutral,DiffAvg,0.19924800000000004,0.19924800000000004,0.0,0.0,0.0,,,600
gender,Precision@20,0.16216666666666668,0.13166666666666665,-0.030500000000000003,-0.03478383970079195,-0.026216160299208056,-13.95477052723251,0.0,600
gender,Recall@20,0.6699485073749779,0.539814691436015,-0.13013381593896298,-0.152405553974195,-0.10786207790373095,-11.452284452918775,0.0,600
gender,HitRate@20,0.8333333333333334,0.79,-0.043333333333333335,-0.06318620040390797,-0.023480466262758695,-4.278139425978384,1.884619671521648e-05,600
gender,MRR,0.48753845765803966,0.47996794956276384,-0.007570508095275897,-0.009882787480542476,-0.005258228710009317,-6.417129331899521,1.3886802818774413e-10,600
gender,NDCG@20,0.45554660468888775,0.3922556477022395,-0.06329095698664823,-0.07145537967404965,-0.055126534299246806,-15.194004578578884,0.0,600
gender,Hits,3.2416666666666667,2.631666666666667,-0.61,-0.6956767940158389,-0.524323205984161,-13.954770527232506,0.0,600
gender,APLT (slice),0.47691666666666666,0.69225,0.21533333333333332,0.20780028644154125,0.2228663802251254,56.02690908418461,0.0,600
gender,APLT (neutral),0.4695,0.6808333333333333,0.21133333333333332,0.20377973986217118,0.21888692680449545,54.83659332669998,0.0,600
gender,UnpopAvg,1.3620578333333333,1.9275163333333334,0.5654585,0.48204775474323786,0.6488692452567622,13.287240829563862,0.0,600
gender,DiffAvg,0.29932050000000004,0.3117965,0.012476000000000004,-0.022626258282425312,0.04757825828242532,0.6966207075127955,0.4860401932083298,600
age_group,Precision@20,0.17825,0.14508333333333334,-0.03316666666666667,-0.037619506160576535,-0.028713827172756806,-14.5989242943915,0.0,600
age_group,Recall@20,0.6790505213740506,0.5598399378399378,-0.11921058353411294,-0.1399338751316053,-0.09848729193662059,-11.274885682501075,0.0,600
age_group,HitRate@20,0.835,0.8183333333333334,-0.016666666666666666,-0.03328384416517903,-4.9489168154306235e-05,-1.9658372590405995,0.04931741236873499,600
age_group,MRR,0.4975997436945579,0.4924284538202882,-0.00517128987426975,-0.007188790594847858,-0.0031537891536916425,-5.023903114475395,5.063178640796195e-07,600
age_group,NDCG@20,0.4743335942482335,0.4116095191372429,-0.06272407511099067,-0.07067477975998578,-0.054773370461995555,-15.462678170680135,0.0,600
age_group,Hits,3.565,2.9,-0.665,-0.7541570532525924,-0.5758429467474077,-14.619146241939104,0.0,600
age_group,APLT (slice),0.4554166666666667,0.6655,0.21008333333333332,0.2027680026217034,0.21739866404496322,56.287726360574844,0.0,600
age_group,APLT (neutral),0.4465833333333334,0.653,0.20641666666666666,0.19910038625758586,0.21373294707574747,55.29813567075893,0.0,600
age_group,UnpopAvg,1.4583651666666666,1.9812875,0.5229223333333334,0.44042372735204954,0.6054209393146172,12.423576873115351,0.0,600
age_group,DiffAvg,0.3354655,0.330378,-0.005087499999999999,-0.03657392231564272,0.026398922315642722,-0.31669206174135806,0.7514772728101116,600
gender+age_group,Precision@20,0.16666666666666666,0.13058333333333333,-0.03608333333333333,-0.04053174475135028,-0.031634921915316375,-15.898559437845542,0.0,600
gender+age_group,Recall@20,0.6673389642764643,0.5167094548969549,-0.1506295093795094,-0.17297778645859238,-0.1282812323004264,-13.21058609301763,0.0,600
gender+age_group,HitRate@20,0.8166666666666667,0.7766666666666666,-0.04,-0.05879260797855114,-0.021207392021448866,-4.171853107853978,3.0213239590182184e-05,600
gender+age_group,MRR,0.4758466592603589,0.46984819544204226,-0.00599846381831676,-0.008071138505463787,-0.003925789131169733,-5.672375485071409,1.4083087584992882e-08,600
gender+age_group,NDCG@20,0.45374580167574075,0.38294085602165673,-0.07080494565408407,-0.07899510457907814,-0.06261478672909,-16.94444451602694,0.0,600
gender+age_group,Hits,3.3316666666666666,2.61,-0.7216666666666667,-0.8106348950270058,-0.6326984383063275,-15.898559437845545,0.0,600
gender+age_group,APLT (slice),0.48524999999999996,0.6959166666666667,0.21066666666666664,0.2032640135504543,0.218069319782879,55.77820008374701,0.0,600
gender+age_group,APLT (neutral),0.45658333333333334,0.6536666666666666,0.19708333333333333,0.1895478303056536,0.20461883636101308,51.2617846365956,0.0,600
gender+age_group,UnpopAvg,1.6014938333333333,2.223167166666667,0.6216733333333334,0.5227722995149976,0.7205743671516692,12.320192077784258,0.0,600
gender+age_group,DiffAvg,0.6575229999999999,0.6689911666666667,0.011468166666666679,-0.049776139625091906,0.07271247295842526,0.3670154505397903,0.7136074931580167,600
