scenario,count,original_total_sum,reranked_total_sum,delta_total_sum,original_total_per_user,reranked_total_per_user,delta_total_per_user,original_avg,reranked_avg,delta_avg,original_max,original_min,reranked_max,reranked_min
neutral,6031,134565.9886,134565.9886,0.0,22.312384,22.312384,0.0,5.817794,5.817794,0.0,13.6172,0.0,13.6172,0.0
gender,6031,125974.4839,130426.1991,4451.7152,20.887827,21.625966,0.738139,5.522808,5.544219,0.021411,13.7404,0.0,13.7404,0.0
age,6031,130237.5885,134641.6611,4404.0726,21.594692,22.324931,0.730239,5.535206,5.555931,0.020725,13.5359,0.0,13.5359,0.0
cross,6031,124941.9748,129892.333,4950.3582,20.716627,21.537445,0.820819,5.491667,5.520811,0.029144,13.5429,0.0,13.5429,0.0
